"scope","total_records","confirmed","revised","discussion_needed","original_labels_visible","main_text_or_supplement_changes","interpretation"
"C1-C6 targeted verification","15","15","0","0","yes_all","0","descriptive targeted verification outcome; not independent double coding or IRR"
"C7/C8 infrastructure crosswalk","19","19","0","0","yes_all","0","descriptive targeted verification outcome; not independent double coding or IRR"
"TOTAL","34","34","0","0","yes_all","0","descriptive targeted verification outcome; not independent double coding or IRR"
